Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2012,,stourbridgeŒhighŒstreet,stourbridge high street,
2012,,StourbridgeŒHighŒStreet,Stourbridge High Street,
2012,,stourbridgeŒhighŒstreet,stourbridge high street,
2012,,StourbridgeŒHighŒStreet,Stourbridge High Street,
2012,,StourbridgeŒtownŒcentre,Stourbridge town centre,
2012,,sunderlandŒdriveŒamblecote,sunderland drive amblecote,
2012,,sunderlandŒdriveŒamblecote,sunderland drive amblecote,
2012,,sunderlandŒdriveŒamblecote,sunderland drive amblecote,
2012,,sunderlandŒdriveŒamblecote,sunderland drive amblecote,
2012,," TheŒForge,ŒCradleyŒHeath"," The Forge, Cradley Heath",
2012,," TowerŒst,ŒDudley"," Tower st, Dudley",
2012,," TowerŒStreet,ŒDudley"," Tower Street, Dudley",
2012,," TridentŒcentre,ŒDudley"," Trident centre, Dudley",
2012,,WolverhamptonŒStreetŒDudley,Wolverhampton Street Dudley,
2012,," WorcesterŒSt,ŒStourbridge"," Worcester St, Stourbridge",
2012,," WorcesterŒSt,ŒStourbridge"," Worcester St, Stourbridge",
2012,," WorcesterŒSt,ŒStourbridge"," Worcester St, Stourbridge",
2012,," WorcesterŒSt,ŒStourbridge"," Worcester St, Stourbridge",
2012,," WorcesterŒSt,ŒStourbridge"," Worcester St, Stourbridge",
2012,Solihull,AnchorŒLane,Anchor Lane,
2012,,ApresŒSolihullŒTownŒCentre,Apres Solihull Town Centre,
2012,,AspenŒDrŒCWTC,Aspen Dr CWTC,
2012,,BhamŒInternational,Bham International,
2012,,BhamŒInternational,Bham International,
2012,,BHX,BHX,
2012,,BHX,BHX,
2012,,bhx,bhx,
2012,,BHXŒ‰óŒTerminalŒ1,BHX ‰ó Terminal 1,
2012,,BirchŒCroft,Birch Croft,
2012,,birminghamŒairport,birmingham airport,
2012,,BirminghamŒInternationalŒŒAirport,Birmingham International  Airport,
2012,," BlossomfieldŒRoad,ŒSolihull"," Blossomfield Road, Solihull",
2012,,BoldmereŒGate,Boldmere Gate,
2012,,bosworthŒdrive,bosworth drive,
2012,,bpŒwarwickŒrdŒolton,bp warwick rd olton,
2012,," BradfordŒRoad,ŒCastleŒBrom"," Bradford Road, Castle Brom",
2012,,burges,burges,
2012,,burges,burges,
2012,,CampdenŒGreen,Campden Green,
2012,,chapelhouseŒrd,chapelhouse rd,
2012,,chesterŒrd,chester rd,
2012,,chesterŒrd,chester rd,
2012,,chesterŒrd,chester rd,
2012,," ChesterŒRoad,ŒCastlebromwich"," Chester Road, Castlebromwich",
2012,," chesterŒroad,Œkingshurst"," chester road, kingshurst",
2012,," ChurchillŒRoad,ŒSolihull"," Churchill Road, Solihull",
2012,,CloptonŒCrescent,Clopton Crescent,
2012,,CloptonŒCrescent,Clopton Crescent,
2012,," cooksŒlane,ŒchelmsleyŒwood"," cooks lane, chelmsley wood",
2012,,druryŒlane,drury lane,
2012,," DruryŒLaneŒ,Solihull."," Drury Lane ,Solihull.",
2012,,FarthingsŒPHŒŒŒGreenŒLane,Farthings PH   Green Lane,
2012,," ForthŒDrive,ŒChelmsleyŒWood"," Forth Drive, Chelmsley Wood",
2012,," glebeŒroad,Œsolihull"," glebe road, solihull",
2012,," GreenŒlaneŒ,ŒShirley"," Green lane , Shirley",
2012,," GrevilleŒPub,ŒSolihull,ŒBirmingham"," Greville Pub, Solihull, Birmingham",
2012,,harvesterŒpubŒsolihull,harvester pub solihull,
2012,,heatonŒrdŒsolihull,heaton rd solihull,
2012,,helmsfordŒDrive,helmsford Drive,
2012,,HelmswoodŒDrive,Helmswood Drive,
2012,,HighŒStŒKnowle,High St Knowle,
2012,,highŒstŒsolihull,high st solihull,
2012,,highŒstŒsolihull,high st solihull,
2012,,HighŒStŒSolihull,High St Solihull,
2012,,HighŒStŒSolihull,High St Solihull,
2012,," HighŒSt,ŒSolihull"," High St, Solihull",
2012,," highŒst,Œsolihull"," high st, solihull",
2012,," HighŒSt,ŒSolihull"," High St, Solihull",
2012,,HighŒStreet,High Street,
2012,,HighŒStreet,High Street,
2012,,HighŒStreet,High Street,
2012,,HighŒStreet,High Street,
2012,,HighŒStreet,High Street,
2012,,HighŒstreetŒŒOSŒHogsŒHead,High street  OS Hogs Head,
2012,," HighŒStreetŒ,ŒSolihull"," High Street , Solihull",
2012,,HighŒStreetŒSolihull,High Street Solihull,
2012,,HighŒStreetŒSolihull,High Street Solihull,
2012,,HighŒStreetŒSolihull,High Street Solihull,
2012,," highŒstreet,Œsolihull"," high street, solihull",
2012,,HomerŒRoad,Homer Road,
2012,,homerŒroad,homer road,
2012,,homerŒroadŒsolihull,homer road solihull,
2012,,HurstŒLaneŒnorthŒJ/WŒGreenŒLane,Hurst Lane north J/W Green Lane,
2012,," KilcoteŒRoad,ŒShirley"," Kilcote Road, Shirley",
2012,,KnowleŒPark,Knowle Park,
2012,," LodeŒLane,ŒSolihull,ŒBirmingham"," Lode Lane, Solihull, Birmingham",
2012,,LondonŒRoad,London Road,
2012,,M42,M42,
2012,,McŒDonaldsŒHighŒStŒSolihull,Mc Donalds High St Solihull,
2012,,mellŒsquare,mell square,
2012,," Mortons,ŒDickensŒheath,ŒSolihull"," Mortons, Dickens heath, Solihull",
2012,,NEC,NEC,
2012,," o/sŒbangorŒhouse,ŒforthŒdrive,ŒchelmsleyŒwood"," o/s bangor house, forth drive, chelmsley wood",
2012,," o/sŒhoggsŒheadŒPH,ŒPoplarŒRoad,ŒSolihull"," o/s hoggs head PH, Poplar Road, Solihull",
2012,,O/SŒHoggsŒheadŒPoplarŒWayŒsolihull,O/S Hoggs head Poplar Way solihull,
2012,," o/sŒKingsŒHighŒSt,ŒSolihull"," o/s Kings High St, Solihull",
2012,," o/sŒKings,ŒSolihull"," o/s Kings, Solihull",
2012,," O/SŒLANGLEYŒHALLŒSOCIALŒCLUB,ŒLANGLEYŒHALLŒRD,ŒOLTON"," O/S LANGLEY HALL SOCIAL CLUB, LANGLEY HALL RD, OLTON",
2012,,O/SŒTOuchwoodŒCentreŒPoplarŒRoadŒSolihull,O/S TOuchwood Centre Poplar Road Solihull,
2012,,OltonŒRailwayŒStation,Olton Railway Station,
2012,,OltonŒTavern,Olton Tavern,
2012,," OSŒAssemblyŒRooms,ŒPoplarŒRoad,ŒSolihull"," OS Assembly Rooms, Poplar Road, Solihull",
2012,," OSŒMasonsŒPH,ŒHighŒStreetŒSolihull"," OS Masons PH, High Street Solihull",
2012,,OSŒSolihullŒHospital,OS Solihull Hospital,
2012,,OSŒSolihullŒHospital,OS Solihull Hospital,
2012,,OSŒSolihullŒHospital,OS Solihull Hospital,
2012,,OutsideŒtheŒWatersideŒBar,Outside the Waterside Bar,
2012,,pineŒsquareŒchelsmleyŒwood,pine square chelsmley wood,
2012,," PlumeŒofŒFeathersŒpublicŒhouse,ŒStratfordŒRoad,ŒShirley"," Plume of Feathers public house, Stratford Road, Shirley",
2012,," PoplarŒAvenueŒ,Solihull."," Poplar Avenue ,Solihull.",
2012,,PoplarŒRd,Poplar Rd,
2012,,poplarŒrdŒsolihull,poplar rd solihull,
2012,,PoplarŒRdŒSolihullŒTownŒCebtre,Poplar Rd Solihull Town Cebtre,
2012,,PoplarŒRdŒSolihullŒTownŒCentre,Poplar Rd Solihull Town Centre,
2012,,PoplarŒRdŒTownŒCentreŒSolihull,Poplar Rd Town Centre Solihull,
2012,," poplarŒrd,Œsolihull"," poplar rd, solihull",
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoad,Poplar Road,
2012,,PoplarŒRoadŒSolihull,Poplar Road Solihull,
2012,,poplarŒroadŒsolihull,poplar road solihull,
2012,,poplarŒroadŒsolihull,poplar road solihull,
2012,," PoplarŒRoad,ŒSolihull"," Poplar Road, Solihull",
2012,," PoplarŒRoad,ŒSolihull"," Poplar Road, Solihull",
2012,," PoplarŒRoad,ŒSolihull"," Poplar Road, Solihull",
2012,," PoplarŒRoad,ŒSolihull"," Poplar Road, Solihull",
2012,,poplarŒway.,poplar way.,
2012,,PpoplarŒroad,Ppoplar road,
2012,," premierŒinn,ŒstratfordŒroad"," premier inn, stratford road",
2012,," RadlowŒCrescent,ŒMarstonŒGreen"," Radlow Crescent, Marston Green",
2012,,ramadaŒhotel,ramada hotel,
2012,,roverŒdrive,rover drive,
2012,,roverŒdrive,rover drive,
2012,,SaddlersŒArms,Saddlers Arms,
2012,,ShirralŒGrove,Shirral Grove,
2012,,solihullŒhighŒstreet,solihull high street,
2012,,SolihullŒHighŒStreet,Solihull High Street,
2012,,SolihullŒTownŒcentre,Solihull Town centre,
2012,,solihullŒtownŒcentre,solihull town centre,
2012,,SolihullŒTownŒCentre,Solihull Town Centre,
2012,,SolihullŒTownŒCentre,Solihull Town Centre,
2012,,StationŒRdŒSolihull,Station Rd Solihull,
2012,,StationŒRoad,Station Road,
2012,,StationŒRoad,Station Road,
2012,,StationŒroadŒSolihull,Station road Solihull,
2012,," StationŒRoad,ŒSolihull."," Station Road, Solihull.",
2012,,StratfordŒRoad,Stratford Road,
2012,,StratfordŒRoadŒShirley,Stratford Road Shirley,
2012,,TheŒbearŒatŒBerkswell,The bear at Berkswell,
2012,,TheŒCresentŒSolihull,The Cresent Solihull,
2012,,TheŒRadleys,The Radleys,
2012,," ThreeŒHorseshoes,ŒSheldon"," Three Horseshoes, Sheldon",
2012,,TouchwoodŒCentre,Touchwood Centre,
2012,,WarwickŒRoad,Warwick Road,
2012,,WarwickŒRoadŒOlton,Warwick Road Olton,
2012,,warwickŒroadŒsolihull,warwick road solihull,
2012,,WidneyŒLane/ŒBlossomfieldŒtennisŒclub,Widney Lane/ Blossomfield tennis club,
2012,Sandwell,AbrahamŒDarbyŒPublicŒHouse,Abraham Darby Public House,
2012,," AllŒSaintsŒWay,ŒWestŒbromwich"," All Saints Way, West bromwich",
2012,,arcadianŒ‰óŒbirmingham,arcadian ‰ó birmingham,
2012,,arcadianŒ‰óŒbirmingham,arcadian ‰ó birmingham,
2012,,asdaŒgreatŒbridge,asda great bridge,
2012,,bearwoodŒHighŒStreet,bearwood High Street,
2012,,BearwoodŒhighŒstreet,Bearwood high street,
2012,,BearwoodŒHighŒStreet,Bearwood High Street,
2012,,BearwoodŒrd,Bearwood rd,
2012,,BearwoodŒroad,Bearwood road,
2012,,BearwoodŒRoad,Bearwood Road,
2012,," BetŒFred,ŒDuchessŒPark,ŒWestŒBromwich"," Bet Fred, Duchess Park, West Bromwich",
2012,," BetFred,ŒWestŒBromwich"," BetFred, West Bromwich",
2012,,BhamŒstreetŒstourbridge,Bham street stourbridge,
2012,," BirchŒRoad,ŒOldbury"," Birch Road, Oldbury",
2012,,BlackheathŒhousingŒoffice,Blackheath housing office,
2012,," BourneŒAvenue,ŒTipton"," Bourne Avenue, Tipton",
2012,,bridgeŒst,bridge st,
2012,,BridgnorthŒRd,Bridgnorth Rd,
2012,,BrookŒST,Brook ST,
2012,,Burntree,Burntree,
2012,,capeŒhill,cape hill,
2012,," CartersŒGreen,ŒWestŒBromwich"," Carters Green, West Bromwich",
2012,," CartersŒGreen,ŒWestŒBromwich"," Carters Green, West Bromwich",
2012,," CartersŒGreen,ŒWestŒBromwich"," Carters Green, West Bromwich",
2012,,CausewayŒRowley,Causeway Rowley,
2012,," ChapelŒStreet,ŒOldbury"," Chapel Street, Oldbury",
2012,," ChipŒshop,ŒgreatŒbridgeŒtipton"," Chip shop, great bridge tipton",
2012,,ChurchŒStreetŒOldŒHill,Church Street Old Hill,
2012,,ChurchŒstreetŒOldbury,Church street Oldbury,
2012,," ChurchŒstreet,Œoldbury"," Church street, oldbury",
2012,,clairmintŒroadŒsmethwick,clairmint road smethwick,
2012,,ClaremontŒRoadŒSmethwick,Claremont Road Smethwick,
2012,,cliffordŒroad,clifford road,
2012,," CollinsŒStreet,ŒWestŒBromwich"," Collins Street, West Bromwich",
2012,," CollinsŒStreet,ŒWestŒBromwich"," Collins Street, West Bromwich",
2012,,CumberlandŒRoadŒWednesbury,Cumberland Road Wednesbury,
2012,,DelvilleŒTerrace,Delville Terrace,
2012,,DesiŒMarslaŒWestŒBromwich,Desi Marsla West Bromwich,
2012,,DilshadŒRestaurantŒOldburyŒRoadŒBlackheath,Dilshad Restaurant Oldbury Road Blackheath,
2012,,DudleyŒRoad,Dudley Road,
2012,,dudleyŒroadŒeast,dudley road east,
2012,,DudleyŒRoadŒEastŒTividale,Dudley Road East Tividale,
2012,," EdwardŒStreet,ŒWestŒBromwich"," Edward Street, West Bromwich",
2012,," ElmŒTreeŒWay,ŒCradleyŒHeath"," Elm Tree Way, Cradley Heath",
2012,,ForgeŒLane,Forge Lane,
2012,,FrontŒOfficeŒSmethwick,Front Office Smethwick,
2012,,grangeŒRoadŒCradley,grange Road Cradley,
2012,," gregoryŒavenue,ŒWeoleyŒCastle"," gregory avenue, Weoley Castle",
2012,,H/A,H/A,
2012,,HabberlyŒRoad,Habberly Road,
2012,,HagleyŒRoadŒWest,Hagley Road West,
2012,,HaigŒStreet,Haig Street,
2012,," halesowenŒRoad,ŒCradley"," halesowen Road, Cradley",
2012,,HANNOVERŒROAD,HANNOVER ROAD,
2012,," HanoverŒRoad,ŒRowleyŒregis"," Hanover Road, Rowley regis",
2012,,HarborneŒStoresŒHarborne,Harborne Stores Harborne,
2012,,HarborneŒStoresŒHarborne,Harborne Stores Harborne,
2012,,HargateŒArmsŒPublicŒHouse,Hargate Arms Public House,
2012,," HasburyŒPH,ŒHalesowen"," Hasbury PH, Halesowen",
2012,," HasburyŒPH,ŒHalesowen"," Hasbury PH, Halesowen",
2012,," HasburyŒPH,ŒHalesowen"," Hasbury PH, Halesowen",
2012,,HENDERSONŒWAY,HENDERSON WAY,
2012,,HERMITŒSTREET,HERMIT STREET,
2012,,highŒstŒsmethwick,high st smethwick,
2012,,highŒstŒWB,high st WB,
2012,,HIGHŒSTŒWESTŒBROM,HIGH ST WEST BROM,
2012,,highŒstŒwestŒbromwich,high st west bromwich,
2012,,HighŒStreetŒSmethwick,High Street Smethwick,
2012,,highŒstreetŒwednesbury,high street wednesbury,
2012,,HighŒStreetŒWestŒBromwich,High Street West Bromwich,
2012,,HighŒStreetŒWollaston.,High Street Wollaston.,
2012,," HighŒStreet,ŒSmethwick"," High Street, Smethwick",
2012,," HighŒStreet,ŒSmethwick"," High Street, Smethwick",
2012,," HighŒStreet,ŒWednesbury"," High Street, Wednesbury",
2012,," HighŒStreet,ŒWestŒBromwich"," High Street, West Bromwich",
2012,," HighŒStreet,ŒWestŒBromwich"," High Street, West Bromwich",
2012,," HighŒStreet,ŒWestŒBromwich"," High Street, West Bromwich",
2012,," HighŒStreet,ŒWestŒBromwich"," High Street, West Bromwich",
2012,," HighŒStreet,ŒWestŒBromwich."," High Street, West Bromwich.",
2012,,HighŒStreetmŒWestŒBrom,High Streetm West Brom,
2012,," HillŒTop,ŒWestŒBromwich"," Hill Top, West Bromwich",
2012,,HolidayŒInnŒOldbury,Holiday Inn Oldbury,
2012,,HolidayŒInnŒOldbury,Holiday Inn Oldbury,
2012,,HollyŒlane,Holly lane,
2012,,HorseleyŒHeath,Horseley Heath,
2012,,horsleyŒheathŒroad,horsley heath road,
2012,,JohnsonŒRoad,Johnson Road,
2012,,KingŒstreetŒDudley,King street Dudley,
2012,,KnightsŒQuestŒBlackheath,Knights Quest Blackheath,
2012,,lakesideŒPHŒcarŒpark,lakeside PH car park,
2012,,LittletonŒStreetŒWestŒBromwich,Littleton Street West Bromwich,
2012,,londonderryŒlane,londonderry lane,
2012,,londonderryŒrd,londonderry rd,
2012,,LongŒLane,Long Lane,
2012,," MallenŒStŒ,ŒOldbury"," Mallen St , Oldbury",
2012,," MarketŒPlace,ŒDudley"," Market Place, Dudley",
2012,,McdonaldsŒGreatŒBridge,Mcdonalds Great Bridge,
2012,,MillŒHillŒSmethwick,Mill Hill Smethwick,
2012,,MILLFIELDSŒROAD,MILLFIELDS ROAD,
2012,,MoorŒStreet,Moor Street,
2012,,MooreŒStreet,Moore Street,
2012,," NewtonŒRd,ŒGreatŒBarr"," Newton Rd, Great Barr",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," NimthŒRoad,ŒDudley"," Nimth Road, Dudley",
2012,," O/SŒHotelŒDenara,ŒŒBearwood"," O/S Hotel Denara,  Bearwood",
2012,,OldŒchapelŒrd,Old chapel rd,
2012,,OldburyŒRoad,Oldbury Road,
2012,,OldburyŒRoadŒOldbury,Oldbury Road Oldbury,
2012,,PeaksŒRoad,Peaks Road,
2012,," PoundŒRoad,ŒOldbury"," Pound Road, Oldbury",
2012,," PoundŒRoad,ŒOldbury"," Pound Road, Oldbury",
2012,," powkeŒLane,ŒOldbury"," powke Lane, Oldbury",
2012,,PowysŒave,Powys ave,
2012,,PritchardŒClose,Pritchard Close,
2012,," QueensŒRoad,ŒSmethwick"," Queens Road, Smethwick",
2012,," RaglandŒRoad,ŒSmethwick"," Ragland Road, Smethwick",
2012,,ReformŒWay,Reform Way,
2012,,RegentŒCourtŒSmethwick,Regent Court Smethwick,
2012,," RegentŒRoad,ŒTividale"," Regent Road, Tividale",
2012,,rolfŒstreetŒstation,rolf street station,
2012,," RoyalŒChicken,ŒHorsleyŒHeath"," Royal Chicken, Horsley Heath",
2012,,SamsonŒandŒLionŒPub,Samson and Lion Pub,
2012,,sandwellŒhospital,sandwell hospital,
2012,,SchoolŒSt,School St,
2012,,schoolŒstreet,school street,
2012,,sedgleyŒroadŒwest,sedgley road west,
2012,,sedgleyŒroadŒwest,sedgley road west,
2012,,shaftsburyŒstreet,shaftsbury street,
2012,,SlaterŒStreetŒGreatŒBridge,Slater Street Great Bridge,
2012,,southŒbankŒroad,south bank road,
2012,," SponŒLane,ŒWestŒBromwich"," Spon Lane, West Bromwich",
2012,,StŒMichealsŒStreetŒWestŒBrom,St Micheals Street West Brom,
2012,,stoneŒstreet,stone street,
2012,,StourbridgeŒHighŒStreet,Stourbridge High Street,
2012,,StourbridgeŒRoad,Stourbridge Road,
2012,,STUARTŒROADŒ‰óŒROWLEYŒREGIS,STUART ROAD ‰ó ROWLEY REGIS,
2012,,TameŒRd,Tame Rd,
2012,," TescoŒExpress,ŒSellyŒOak"," Tesco Express, Selly Oak",
2012,,tescosŒburntree,tescos burntree,
2012,,theŒlegends,the legends,
2012,,upperŒhighŒstreet,upper high street,
2012,,vicarageŒroadŒsmethwick,vicarage road smethwick,
2012,," VictoriaŒPark,ŒTipton"," Victoria Park, Tipton",
2012,,VictoriaŒSuiteŒWimdmillŒLane,Victoria Suite Wimdmill Lane,
2012,,WalsallŒRoad,Walsall Road,
2012,,WalterŒStŒWestŒbromwich,Walter St West bromwich,
2012,,WalterŒStreetŒWestŒBromwich,Walter Street West Bromwich,
2012,,WaterlooŒRoad,Waterloo Road,
2012,,westŒbromŒhighŒstreet,west brom high street,
2012,,WestŒBromŒHighŒStreet,West Brom High Street,
2012,,WestŒBromŒHighŒStreet,West Brom High Street,
2012,,WestŒBromwichŒPoliceŒstation,West Bromwich Police station,
2012,,westŒbromwichŒpoliceŒstatiopn,west bromwich police statiopn,
2012,,WESTŒPARKŒWOLVERHAMPTON,WEST PARK WOLVERHAMPTON,
2012,,windmillŒlane,windmill lane,
2012,,WindmillŒLane,Windmill Lane,
2012,,WindmillŒLane,Windmill Lane,
2012,Walsall,AbelwellŒStŒWalsall,Abelwell St Walsall,
2012,,AbelwellŒStreetŒWalsall,Abelwell Street Walsall,
2012,,AblewellŒStreet,Ablewell Street,
2012,," ABLEWELLŒSTREET,ŒWALSALL"," ABLEWELL STREET, WALSALL",
2012,," ABLEWELLŒSTREET,ŒWALSALL"," ABLEWELL STREET, WALSALL",
2012,," ablewellŒstreet,Œwalsall"," ablewell street, walsall",
2012,,abuŒbakaŒcarŒparkŒwednesburyŒroad,abu baka car park wednesbury road,
2012,,barŒsportŒbridgeŒst,bar sport bridge st,
2012,,BARONSŒCOURTŒHOTEL,BARONS COURT HOTEL,
2012,," BeatonŒclose,willenhall"," Beaton close,willenhall",
2012,,bentleyŒlane,bentley lane,
2012,,BentleyŒlane,Bentley lane,
2012,,BentleyŒLane,Bentley Lane,
2012,,BilstonŒStreet,Bilston Street,
2012,,BilstonŒStreet,Bilston Street,
2012,,BilstonŒStreet,Bilston Street,
2012,,birminghamŒrdŒwalsall,birmingham rd walsall,
2012,,BlowwichŒroad,Blowwich road,
2012,,BloxwichŒLaneŒNorth,Bloxwich Lane North,
2012,,bloxwichŒroad,bloxwich road,
2012,,bloxwichŒroad,bloxwich road,
2012,,BloxwichŒRoad,Bloxwich Road,
2012,," BlueŒLane,ŒWalsall"," Blue Lane, Walsall",
2012,,BradfordŒŒPlace,Bradford  Place,
2012,,BradfordŒPlace,Bradford Place,
2012,,BradfordŒPlace,Bradford Place,
2012,,BradfordŒplace,Bradford place,
2012,,BradfordŒPlaceŒWalsall,Bradford Place Walsall,
2012,,bradfordŒplaceŒwalsall,bradford place walsall,
2012,,BradfordŒPlaceŒWalsall,Bradford Place Walsall,
2012,," BradfordŒPlace,ŒWalsall"," Bradford Place, Walsall",
2012,," BradfordŒPlace,ŒWalsall"," Bradford Place, Walsall",
2012,," BradfordŒPlace,ŒWalsall"," Bradford Place, Walsall",
2012,," BradfordŒPlace,ŒWalsall"," Bradford Place, Walsall",
2012,," BradfordŒPlace,ŒWalsall"," Bradford Place, Walsall",
2012,," BradfordŒPlace,ŒWalsallŒTownŒcentre"," Bradford Place, Walsall Town centre",
2012,,BradfordŒStreet,Bradford Street,
2012,,BradfordŒStreet,Bradford Street,
2012,,BradfordŒStreetŒWalsall,Bradford Street Walsall,
2012,," BradfordŒStreet,ŒWalsall"," Bradford Street, Walsall",
2012,," BradfordŒStreet,ŒWalsall"," Bradford Street, Walsall",
2012,," BradfordŒstreet,Walsall"," Bradford street,Walsall",
2012,,BridgeŒSt,Bridge St,
2012,,BridgeŒStŒWalsall,Bridge St Walsall,
2012,,bridgeŒStŒWalsall,bridge St Walsall,
2012,," BridgeŒSt,ŒWalsall"," Bridge St, Walsall",
2012,," BridgeŒSt,ŒWalsall"," Bridge St, Walsall",
2012,,BridgeŒstreet,Bridge street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒstreet,Bridge street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒStreet,Bridge Street,
2012,,BridgeŒstreet,Bridge street,
2012,,BridgeŒStreetŒWalsall,Bridge Street Walsall,
2012,,bridgeŒStreetŒWalsall,bridge Street Walsall,
2012,,BridgeŒStreetŒWalsall,Bridge Street Walsall,
2012,,bridgeŒstreetŒwalsall,bridge street walsall,
2012,,bridgeŒStreetŒWalsall,bridge Street Walsall,
2012,,BridgeŒstreetŒwalsall,Bridge street walsall,
2012,,BRIDGEŒSTREETŒWALSALLŒTOWNŒCENTRE,BRIDGE STREET WALSALL TOWN CENTRE,
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," bridgeŒstreet,Œwalsall"," bridge street, walsall",
2012,," bridgeŒstreet,Œwalsall"," bridge street, walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," bridgeŒstreet,Œwalsall"," bridge street, walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,ŒWalsall"," Bridge Street, Walsall",
2012,," BridgeŒStreet,Walsall"," Bridge Street,Walsall",
2012,," BridgeŒStreet,Walsall"," Bridge Street,Walsall",
2012,," BridgeŒstreet,Walsall"," Bridge street,Walsall",
2012,," BRIDGEŒSTREET,WALSALLŒTOWNŒCENTRE"," BRIDGE STREET,WALSALL TOWN CENTRE",
2012,,BroadŒMeddowsŒRoad,Broad Meddows Road,
2012,," BroadwayŒNorth,ŒWalsall"," Broadway North, Walsall",
2012,," BusŒStation,ŒStŒPaul's,ŒWalsall"," Bus Station, St Paul's, Walsall",
2012,," BusŒStation,ŒStŒPauls,ŒWalsall."," Bus Station, St Pauls, Walsall.",
2012,,CalderfieldsŒGolfŒClub,Calderfields Golf Club,
2012,,CambridgeŒPH,Cambridge PH,
2012,," CambridgeŒPH,ŒArundelŒSt"," Cambridge PH, Arundel St",
2012,,CannockŒRoad,Cannock Road,
2012,,cannockŒRoadŒWillenhall,cannock Road Willenhall,
2012,," CarŒparkŒShireŒOakŒPublicŒHouse,ŒChesterŒRoad,ŒBrownhills"," Car park Shire Oak Public House, Chester Road, Brownhills",
2012,," CarŒPark,ŒShireŒOakŒPH,ŒLichfieldŒRd"," Car Park, Shire Oak PH, Lichfield Rd",
2012,,CastleŒst,Castle st,
2012,," CemetaryŒRd,ŒWillenhall"," Cemetary Rd, Willenhall",
2012,," ChurchŒRoad,ŒPelsall"," Church Road, Pelsall",
2012,,ChurchfieldŒavenueŒtipton,Churchfield avenue tipton,
2012,,CollinwoodŒDrive,Collinwood Drive,
2012,," colthomŒroad,Œwillenhall"," colthom road, willenhall",
2012,," CORALŒBookmakers,ŒHighŒStreet,ŒSmethwick"," CORAL Bookmakers, High Street, Smethwick",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,," CORALŒBookmakers,ŒSmethwickŒHighŒStreet."," CORAL Bookmakers, Smethwick High Street.",
2012,,CountessŒStreet,Countess Street,
2012,," CountyŒHotel,ŒWalsall"," County Hotel, Walsall",
2012,,CrownŒWharf,Crown Wharf,
